IN 	Champ (alias) 	Champ (standard)	Namespace	Exemples de valeurs	Description
O 	Document Title	dc:title	Dublin Core	Céramique 401.003	Image. Nom ou titre principal de l'image ou de l'objet représenté
N 	Document Identifiant	dc:identifier	Dublin Core	https://doi.org/10.5281/zenodo.15829515	Image. Identifiant unique de l'image (URL, DOI, UUID, plein texte, etc.)
N 	Author	dc:creator	Dublin Core	John Doe, Jane Smith	Image. Nom du créateur de l'image (photographe)
O 	Description	dc:description	Dublin Core	Une vue de la coupe transversale	Image. Description textuelle du contenu de l'image
N 	Keywords	dc:subject	Dublin Core	art, painting, museum	Image. Mots-clés décrivant le contenu
O 	Source	dc:source	Dublin Core	https://doi.org/10.5281/zenodo.15829515	Image. Source ou référence liée à l'image ou à l'objet
O 	Image Rights	dc:rights	Dublin Core	CC-BY 4.0	Image. Droits d'utilisation ou licence de l'image
O 	Copyright Notice	Iptc4xmpExt:CopyrightNotice	IPTC Photo Metadata Extension	© 2026 IRAMAT-CNRS, Tous droits réservés	Image. Identifiant apposé sur les copies de l'œuvre pour informer le monde de la propriété du droit d'auteur.
N 	References	dcterms:references	Dublin Core Terms	https://example.org/publication	Références bibliographiques ou ressources externes liées
N 	Collection Owner	Iptc4xmpExt:AOSource	IPTC Photo Metadata Extension	Université Paris-Saclay	Objet. Propriétaire de la collection dans laquelle l'objet représenté sur l'image est inclus
N 	Collection Location	Iptc4xmpExt:AOLocation	IPTC Photo Metadata Extension	Paris, France	Objet. Localisation physique de la collection dans laquelle l'objet représenté sur l'image est inclus
N 	Object Identifier/Inventory Number	Iptc4xmpExt:AOSourceInvNo	IPTC Photo Metadata Extension	MAN 1887.42.1	Image. Identifiant unique de l'objet archéologique (numéro d'inventaire)
N 	Catalog URL	Iptc4xmpExt:AOCatalogURL	IPTC Photo Metadata Extension	https://example.com/catalog/12345	Image. URL du catalogue en ligne de la collection dans laquelle l'objet représenté sur l'image est inclus
N 	Temporal Coverage	dcterms:temporal	Dublin Core Terms	Late Bronze Age	Image. Période chronologique associée à l'objet
