IN	Niveau	Champ (alias)	Champ (standard)	Namespace	Exemples de valeurs	Description
O	Image	Document Title	dc:title	Dublin Core	Macro-photographie de la lame de l'épée MAN 1887.42.1	Titre propre à l'image ou au document visuel. Il doit identifier la vue, la prise de vue ou le fichier, et non servir de titre principal à l'objet physique représenté.
N	Image	Image Identifier	dc:identifier	Dublin Core	https://images.example.org/id/IMG-000145	Identifiant unique et stable de l'image elle-même : URI, UUID, identifiant interne ou DOI lorsque l'image est publiée comme ressource autonome.
N	Image	Photographer / Image Creator	dc:creator	Dublin Core	John Doe	Personne ou organisme responsable de la création de l'image : photographe, opérateur de numérisation, illustrateur ou laboratoire.
O	Image	Image Description	dc:description	Dublin Core	Vue macroscopique du tranchant, éclairage rasant, face A	Description du contenu visuel et des conditions de représentation pertinentes : vue, orientation, détail, échelle, éclairage ou technique d'acquisition.
N	Image	Keywords	dc:subject	Dublin Core	épée; macro-photographie; corrosion; tranchant	Mots-clés décrivant l'image et ce qu'elle montre. Les termes peuvent porter sur la technique d'imagerie, la partie visible ou les phénomènes observables.
N	Image	Date Created	exif:DateTimeOriginal	EXIF	2026:07:15 14:32:10	Date et heure de création de l'image ou de la prise de vue, lorsque cette information est disponible.
N	Image	Image Source	dc:source	Dublin Core	Fichier RAW IMG_0145.NEF	Ressource dont l'image dérive directement : fichier RAW, négatif, diapositive, scan source ou image d'archive. Ne pas utiliser ce champ pour la notice de l'objet ou un jeu de données scientifique associé.
O	Image	Image Rights	dc:rights	Dublin Core	CC BY 4.0	Droits d'utilisation ou licence applicables à l'image.
O	Image	Copyright Notice	Iptc4xmpExt:CopyrightNotice	IPTC Photo Metadata Extension	© 2026 IRAMAT-CNRS	Mention de copyright à afficher avec l'image. Elle précise le titulaire des droits et, si nécessaire, l'année de création ou de publication.
N	Image	Rights Web Statement	xmpRights:WebStatement	XMP Rights Management	https://creativecommons.org/licenses/by/4.0/	URL d'une page décrivant les droits ou la licence applicables à l'image.
N	Image	Credit Line	photoshop:Credit	Adobe Photoshop XMP	IRAMAT-CNRS / Musée archéologique national	Formule de crédit recommandée lors de l'affichage ou de la réutilisation de l'image.
N	Objet physique	Object Title	Iptc4xmpExt:AOTitle	IPTC Photo Metadata Extension	Épée en fer	Nom ou titre de l'objet physique représenté dans l'image.
N	Objet physique	Object Type	iramat:PhysicalObjectType	IRAMAT XMP Extension	épée	Type ou catégorie de l'objet physique représenté, idéalement à partir d'un vocabulaire contrôlé.
N	Objet physique	Object Identifier / Inventory Number	Iptc4xmpExt:AOSourceInvNo	IPTC Photo Metadata Extension	MAN 1887.42.1	Numéro d'inventaire ou autre identifiant institutionnel de l'objet physique représenté.
N	Objet physique	Physical Object URI	iramat:PhysicalObjectURI	IRAMAT XMP Extension	https://collections.example.org/object/MAN-1887-42-1	URI stable identifiant l'objet physique ou sa notice d'autorité dans un système d'information patrimonial.
